# n=2 rmax=15 dr=0.1 Const=3.16227766
# r f_num f_exact
0.1 0.06484269881 0.06396455479
0.2 0.1168782115 0.1152852
0.3 0.1575167396 0.1553554554
0.4 0.1880461119 0.1854477558
0.5 0.209641111 0.2067226899
0.6 0.22337213 0.22023759
0.7 0.2302132463 0.2269545157
0.8 0.2310496986 0.2277476712
0.9 0.2266848472 0.2234102951
1 0.2178466317 0.2146610571
1.1 0.2051935691 0.2021499946
1.2 0.1893203132 0.1864640223
1.3 0.1707628189 0.1681320405
1.4 0.1500031268 0.1476296715
1.5 0.1274737973 0.1253836495
1.6 0.1035620203 0.1017758863
1.7 0.07861341916 0.07714723602
1.8 0.05293557491 0.05180097947
1.9 0.02680128088 0.02600604728
2 0.0004515593935 0
2.1 -0.02590155348 -0.02600821779
2.2 -0.05207243817 -0.05183573381
2.3 -0.07789951243 -0.07732339981
2.4 -0.1032430435 -0.1023336252
2.5 -0.1279831238 -0.1267483794
2.6 -0.1520178093 -0.1504673514
2.7 -0.1752614048 -0.1734062547
2.8 -0.1976428841 -0.1954952674
2.9 -0.2191044384 -0.2166775983
3 -0.2396001425 -0.2369081691
3.1 -0.2590947277 -0.2561524043
3.2 -0.2775624599 -0.2743851214
3.3 -0.2949861068 -0.2915895137
3.4 -0.3113559959 -0.3077562192
3.5 -0.3266691498 -0.3228824684
3.6 -0.3409284998 -0.3369713056
3.7 -0.3541421611 -0.3500308789
3.8 -0.3663227808 -0.3620737922
3.9 -0.3774869346 -0.3731165154
4 -0.3876545885 -0.3831788483
4.1 -0.3968485999 -0.3922834337
4.2 -0.4050942734 -0.4004553165
4.3 -0.4124189541 -0.4077215439
4.4 -0.4188516618 -0.4141108053
4.5 -0.424422759 -0.4196531069
4.6 -0.4291636571 -0.4243794795
4.7 -0.4331065472 -0.4283217164
4.8 -0.4362841633 -0.4315121382
4.9 -0.4387295679 -0.4339833839
5 -0.4404759654 -0.4357682243
5.1 -0.4415565297 -0.4368993973
5.2 -0.442004259 -0.4374094622
5.3 -0.4418518454 -0.4373306715
5.4 -0.4411315604 -0.4366948601
5.5 -0.4398751561 -0.4355333474
5.6 -0.4381137816 -0.4338768545
5.7 -0.4358779079 -0.4317554327
5.8 -0.4331972669 -0.4291984029
5.9 -0.4301008003 -0.4262343061
6 -0.426616618 -0.4228908617
6.1 -0.4227719631 -0.4191949349
6.2 -0.418593187 -0.4151725109
6.3 -0.4141057286 -0.4108486759
6.4 -0.409334101 -0.4062476043
6.5 -0.4043018814 -0.4013925512
6.6 -0.3990317119 -0.3963058485
6.7 -0.3935452972 -0.3910089073
6.8 -0.3878634093 -0.3855222218
6.9 -0.382005897 -0.3798653782
7 -0.3759916967 -0.3740570653
7.1 -0.369838844 -0.3681150883
7.2 -0.3635644899 -0.3620563841
7.3 -0.3571849203 -0.3558970395
7.4 -0.3507155723 -0.3496523094
7.5 -0.3441710577 -0.3433366381
7.6 -0.3375651808 -0.3369636801
7.7 -0.330910965 -0.3305463227
7.8 -0.3242206715 -0.3240967092
7.9 -0.3175058263 -0.3176262623
8 -0.3107772434 -0.3111457078
8.1 -0.3040450482 -0.3046650993
8.2 -0.297318703 -0.298193842
8.3 -0.2906070323 -0.2917407174
8.4 -0.2839182436 -0.2853139068
8.5 -0.2772599546 -0.2789210162
8.6 -0.2706392164 -0.2725690994
8.7 -0.2640625377 -0.2662646815
8.8 -0.2575359057 -0.2600137824
8.9 -0.2510648117 -0.253821939
9 -0.2446542711 -0.2476942275
9.1 -0.2383088469 -0.2416352851
9.2 -0.2320326693 -0.2356493312
9.3 -0.2258294577 -0.2297401881
9.4 -0.21970254 -0.2239113008
9.5 -0.2136548731 -0.2181657564
9.6 -0.2076890607 -0.2125063034
9.7 -0.2018073716 -0.2069353695
9.8 -0.1960117575 -0.2014550792
9.9 -0.1903038703 -0.1960672714
10 -0.1846850793 -0.1907735152
10.1 -0.1791564844 -0.1855751258
10.2 -0.1737189326 -0.1804731801
10.3 -0.1683730343 -0.1754685308
10.4 -0.1631191734 -0.170561821
10.5 -0.1579575239 -0.1657534969
10.6 -0.152888061 -0.1610438213
10.7 -0.1479105734 -0.1564328857
10.8 -0.1430246746 -0.151920622
10.9 -0.1382298148 -0.147506814
11 -0.1335252902 -0.1431911077
11.1 -0.1289102536 -0.1389730219
11.2 -0.1243837232 -0.1348519578
11.3 -0.1199445935 -0.1308272082
11.4 -0.1155916394 -0.1268979665
11.5 -0.1113235288 -0.1230633347
11.6 -0.1071388268 -0.1193223318
11.7 -0.1030360044 -0.1156739008
11.8 -0.09901344462 -0.1121169163
11.9 -0.09506944835 -0.1086501908
12 -0.09120224047 -0.1052724812
12.1 -0.08740997475 -0.1019824951
12.2 -0.08369073852 -0.09877889587
12.3 -0.08004255793 -0.09566030848
12.4 -0.07646340344 -0.09262532423
12.5 -0.07295119022 -0.08967250558
12.6 -0.06950378548 -0.08680039049
12.7 -0.06611900943 -0.08400749661
12.8 -0.06279463762 -0.08129232514
12.9 -0.05952840576 -0.07865336444
13 -0.05631801089 -0.07608909342
13.1 -0.05316111369 -0.07359798472
13.2 -0.05005533916 -0.0711785076
13.3 -0.04699828033 -0.06882913067
13.4 -0.0439874973 -0.06654832448
13.5 -0.0410205185 -0.06433456378
13.6 -0.03809484246 -0.06218632972
13.7 -0.03520793921 -0.06010211186
13.8 -0.03235724792 -0.05808040996
13.9 -0.02954017953 -0.0561197357
14 -0.02675411428 -0.05421861419
14.1 -0.02399640384 -0.0523755854
14.2 -0.02126436776 -0.05058920541
14.3 -0.01855529501 -0.04885804755
14.4 -0.01586644378 -0.04718070349
14.5 -0.01319503751 -0.0455557841
14.6 -0.0105382656 -0.04398192034
14.7 -0.007893281378 -0.04245776396
14.8 -0.005257199407 -0.04098198816
14.9 -0.002627094236 -0.03955328814
