# n=1 overlap=0.9999213662
# r f_num f_exact
0.3 0.436908469 0.4446077831
0.6 0.650146498 0.6587470935
0.9 0.7255931927 0.7320177745
1.2 0.7198177851 0.7230561403
1.5 0.6694576562 0.6695664541
1.8 0.5977157858 0.595232435
2.1 0.5188378481 0.5144522056
2.4 0.441177526 0.4355606487
2.7 0.3692794684 0.3630051729
3 0.3052819357 0.2988009403
3.3 0.249850951 0.243492899
3.6 0.202793881 0.1967825195
3.9 0.1634553706 0.1579284156
4.2 0.1309668252 0.1259959592
4.5 0.1043984989 0.1000072525
4.8 0.08284767909 0.07902634117
5.1 0.06548572964 0.06220316304
5.4 0.05157926377 0.04879189754
5.7 0.04049561619 0.03815403376
6 0.03169924847 0.02975284568
6.3 0.02474337289 0.02314352271
6.6 0.01925947361 0.01796157871
6.9 0.0149463252 0.013911095
7.2 0.01155946349 0.01075366189
7.5 0.008901552825 0.008298446528
7.8 0.006813887233 0.006393546007
8.1 0.005169014278 0.004918626737
8.4 0.003864465257 0.003778764171
8.7 0.002817413837 0.002899355112
9 0.001960176664 0.002221960443
9.3 0.001236350267 0.001700937741
9.6 0.000597469803 0.001300733596
