# n=3 overlap=0.6134618689
# r f_num f_exact
0.3 0.226738119 0.207634174
0.6 0.3135037469 0.2919052227
0.9 0.3007848876 0.2908204308
1.2 0.222696119 0.2339068513
1.5 0.1073433648 0.1437823854
1.8 -0.02275097138 0.03746870853
2.1 -0.1501759109 -0.0725149414
2.4 -0.2621259166 -0.1772436406
2.7 -0.3498735492 -0.2706356444
3 -0.4082325873 -0.3488337004
3.3 -0.4350225522 -0.4096978446
3.6 -0.4305445973 -0.4523917911
3.9 -0.3970776029 -0.4770476788
4.2 -0.3384021604 -0.4844962202
4.5 -0.259358888 -0.4760512524
4.8 -0.1654462868 -0.4533393774
5.1 -0.06246208449 -0.4181668134
5.4 0.04380919817 -0.3724168185
5.7 0.1478609129 -0.3179720959
6 0.2446807444 -0.2566574935
6.3 0.3299195681 -0.1901990758
6.6 0.4000142513 -0.120196295
6.9 0.4522667695 -0.04810454656
7.2 0.4848827461 0.02477414345
7.5 0.4969731047 0.09729414929
7.8 0.4885230213 0.1684645162
8.1 0.4603326904 0.2374437083
8.4 0.413934675 0.3035318355
8.7 0.3514926891 0.3661611667
9 0.2756866878 0.4248855688
9.3 0.1895890003 0.4793693773
9.6 0.09653606361 0.5293760902
