# r f_num_n=1 f_exact_n=1 f_num_n=2 f_exact_n=2 f_num_n=3 f_exact_n=3
0.3 0.4369084689574753 0.4444909324090307 0.1865895706175988 0.1551961739216349 0.2267381190038647 0.08428184446931301
0.6 0.6501464979651601 0.6585739633128317 0.2649574961636537 0.2200117867376498 0.3135037469309429 0.1184887347846384
0.8999999999999999 0.7255931926889323 0.7318253875330785 0.2691377571841791 0.223181238994164 0.3007848875912684 0.1180484013602027
1.2 0.7198177850665751 0.7228661085892851 0.224873664040939 0.1862728461485615 0.2226961189803407 0.09494632061336759
1.5 0.6694576561834685 0.6693904804452895 0.1513763631514877 0.1252550972433316 0.1073433647752935 0.05836343994280836
1.8 0.5977157858327401 0.5950759975977116 0.06274167502046037 0.05174786941691132 0.0227509713822018 0.01520911419999767
2.1 0.518837848057622 0.514316998662524 -0.03091224521515993 -0.02598155231591377 -0.1501759109011231 -0.02943490897214383
2.4 0.4411775260298406 0.43544617578918 -0.122534839026504 -0.1022287054546829 -0.2621259165947439 -0.07194586835287584
2.7 0.3692794683780332 0.3629097687946488 -0.2074182187114179 -0.1732284662150176 -0.349873549233186 -0.1098550919679265
3 0.3052819356914965 0.2987224102071837 -0.2826224203535054 -0.2366652739922926 -0.4082325872555705 -0.1415968629264409
3.3 0.2498509509692921 0.2434289048481841 -0.3465221896821384 -0.2912905553672229 -0.4350225521571391 -0.1663025375283534
3.6 0.2027938809528986 0.1967308016205065 -0.3984517598153977 -0.3366258185781531 -0.4305445973122917 -0.1836326546481156
3.9 0.1634553706062666 0.1578869092772743 -0.4384284314915154 -0.3727339697856523 -0.3970776029205904 -0.1936408515432771
4.2 0.130966825177365 0.1259628452920127 -0.4669392321351333 -0.4000447411771615 -0.3384021604463736 -0.1966643268793333
4.5 0.1043984989097912 0.09998096884418076 -0.4847779020191432 -0.4192228486096762 -0.259358887997634 -0.1932363870390304
4.8 0.08284767908939632 0.07900557167059229 -0.4929218090803967 -0.43106972123919 -0.1654462867987646 -0.1840172942279897
5.1 0.06548572964203685 0.0621868149682595 -0.4924403922719389 -0.4364514569520708 -0.06246208449321802 -0.1697402197580606
5.399999999999999 0.0515792637714742 0.04877907418021683 -0.484428342611253 -0.4362471294050149 -0.04380919816646343 -0.1511696064565825
5.7 0.040495616186802 0.0381440062151725 -0.4699580419810505 -0.4313127662286206 -0.1478609129354404 -0.1290696719487207
6 0.03169924847173714 0.0297450261199963 -0.450046893956377 -0.4224572838997782 -0.2446807443660855 -0.1041811496100168
6.3 0.02474337289444648 0.02313744019056423 -0.4256360140635584 -0.4104274445226475 -0.3299195681217361 -0.07720467498291822
6.6 0.01925947360634888 0.0179568580956322 -0.3975775245030773 -0.3958995275164213 -0.4000142512864033 -0.04878948993589474
6.899999999999999 0.01494632520452378 0.01390743892086945 -0.3666282132003833 -0.3794759131504199 -0.4522667694501875 -0.01952636135231517
7.199999999999999 0.01155946349493551 0.01075083564062419 -0.3334478537026163 -0.3616851781247263 0.4848827460550715 0.01005619867237902
7.5 0.008901552824955125 0.008296265552217505 -0.2986008016867676 -0.3429846249432459 0.4969731046841074 0.03949316337661502
7.8 0.006813887233176582 0.006391865672084674 -0.2625598362192899 -0.3237644222105829 0.4885230212817143 0.06838228929248533
8.1 0.005169014278059149 0.004917334036877641 -0.2257114254146763 -0.3043527349196321 0.4603326903630529 0.09638198424436216
8.4 0.00386446525718242 0.00377777104620465 -0.188361803222348 -0.2850213826673093 0.4139346749580337 0.1232081523476203
8.699999999999999 0.002817413836536964 0.002898593111184823 -0.1507434023128185 -0.2659916880070519 0.351492689086203 0.1486303429700863
9 0.00196017666391843 0.002221376473560232 -0.113021286838762 -0.247440273707624 0.2756866878158729 0.1724674639460913
9.299999999999999 0.001236350266541946 0.001700490705494026 -0.07529935743294329 -0.2295046421331606 0.1895890003102841 0.1945832639748365
9.6 0.0005974698029557222 0.001300391740624395 -0.03762613134359719 -0.2122884268232232 0.09653606361212239 0.2148817433638333
