# n=1 rmax=15 dr=0.1 Const=3.16227766
# r f_num f_exact
13.4 3.927068866e-05 4.060599713e-05
13.5 3.540865182e-05 3.701601833e-05
13.6 3.184857313e-05 3.374157829e-05
13.7 2.855861835e-05 3.07551326e-05
13.8 2.551145011e-05 2.803152174e-05
13.9 2.26822448e-05 2.554776664e-05
14 2.004658794e-05 2.32828815e-05
14.1 1.758191897e-05 2.121770254e-05
14.2 1.52666463e-05 1.933473126e-05
14.3 1.308307801e-05 1.761799105e-05
14.4 1.101163638e-05 1.605289598e-05
14.5 9.034448876e-06 1.462613081e-05
14.6 7.135951367e-06 1.332554127e-05
14.7 5.299139907e-06 1.214003362e-05
14.8 3.507854675e-06 1.105948291e-05
14.9 1.745931977e-06 1.007464906e-05
