# z  linear(z)  quadratic(z)  cos(z)  linear'(z)  quadratic'(z)  -sin(z)  integ_linear(z)  integ_quadratic(z)  sin(z)
5.06 0.334663 0.329823 0.340653 0.850015 0.780343 0.940189 -0.920313 -0.940869 -0.940189
5.08 0.351663 0.345503 0.359387 0.850015 0.787677 0.933189 -0.91345 -0.934116 -0.933189
5.1 0.368664 0.36133 0.377978 0.850015 0.795011 0.925815 -0.906247 -0.927048 -0.925815
5.12 0.385664 0.377303 0.396417 0.850015 0.802344 0.91807 -0.898703 -0.919662 -0.91807
5.14 0.402664 0.393424 0.414698 0.850015 0.809678 0.909959 -0.89082 -0.911955 -0.909959
5.16 0.419665 0.40969 0.432813 0.850015 0.817012 0.901484 -0.882597 -0.903924 -0.901484
5.18 0.436665 0.426104 0.450755 0.850015 0.824346 0.892648 -0.874034 -0.895567 -0.892648
5.2 0.453665 0.442664 0.468517 0.850015 0.83168 0.883455 -0.86513 -0.886879 -0.883455
5.22 0.470666 0.459371 0.486091 0.850015 0.839014 0.873908 -0.855887 -0.877859 -0.873908
5.24 0.487666 0.476225 0.503471 0.850015 0.846348 0.864012 -0.846304 -0.868503 -0.864012
5.26 0.504666 0.493225 0.520649 0.850015 0.853682 0.853771 -0.83638 -0.858809 -0.853771
5.28 0.521666 0.510372 0.537619 0.850015 0.861016 0.843188 -0.826117 -0.848773 -0.843188
5.3 0.538667 0.527666 0.554374 0.850015 0.86835 0.832267 -0.815514 -0.838393 -0.832267
5.32 0.555667 0.545106 0.570908 0.850015 0.875684 0.821014 -0.80457 -0.827666 -0.821014
5.34 0.572667 0.562693 0.587213 0.850015 0.883018 0.809433 -0.793287 -0.816588 -0.809433
5.36 0.589668 0.580427 0.603283 0.850015 0.890352 0.797527 -0.781664 -0.805157 -0.797527
5.38 0.606668 0.598307 0.619112 0.850015 0.897686 0.785303 -0.7697 -0.79337 -0.785303
5.4 0.623668 0.616334 0.634693 0.850015 0.90502 0.772764 -0.757397 -0.781224 -0.772764
5.42 0.640669 0.634508 0.65002 0.850015 0.912354 0.759917 -0.744753 -0.768716 -0.759917
5.44 0.657669 0.652828 0.665088 0.850015 0.919688 0.746765 -0.73177 -0.755843 -0.746765
5.46 0.674669 0.671296 0.679889 0.850015 0.927022 0.733315 -0.718447 -0.742602 -0.733315
5.48 0.691669 0.689909 0.694418 0.850015 0.934356 0.719572 -0.704783 -0.72899 -0.719572
5.5 0.70867 0.70867 0.70867 0.850015 0.94169 0.70554 -0.69078 -0.715004 -0.70554
5.52 0.71873 0.727153 0.722638 0.503001 0.906595 0.691227 -0.676506 -0.700645 -0.691227
5.54 0.72879 0.744934 0.736317 0.503001 0.871499 0.676637 -0.662031 -0.685923 -0.676637
5.56 0.73885 0.762013 0.749702 0.503001 0.836404 0.661776 -0.647354 -0.670852 -0.661776
5.58 0.74891 0.77839 0.762786 0.503001 0.801309 0.646651 -0.632477 -0.655447 -0.646651
5.6 0.75897 0.794065 0.775566 0.503001 0.766214 0.631267 -0.617398 -0.639721 -0.631267
5.62 0.76903 0.809038 0.788035 0.503001 0.731119 0.61563 -0.602118 -0.623689 -0.61563
5.64 0.77909 0.82331 0.800189 0.503001 0.696024 0.599747 -0.586637 -0.607364 -0.599747
5.66 0.78915 0.836879 0.812024 0.503001 0.660929 0.583625 -0.570954 -0.590761 -0.583625
5.68 0.79921 0.849747 0.823533 0.503001 0.625834 0.567269 -0.555071 -0.573894 -0.567269
5.7 0.80927 0.861913 0.834713 0.503001 0.590739 0.550686 -0.538986 -0.556776 -0.550686
5.72 0.81933 0.873376 0.845559 0.503001 0.555644 0.533882 -0.5227 -0.539422 -0.533882
5.74 0.82939 0.884138 0.856067 0.503001 0.520549 0.516865 -0.506213 -0.521846 -0.516865
5.76 0.83945 0.894198 0.866232 0.503001 0.485453 0.499642 -0.489524 -0.504061 -0.499642
5.78 0.84951 0.903556 0.876051 0.503001 0.450358 0.482218 -0.472635 -0.486082 -0.482218
5.8 0.85957 0.912213 0.88552 0.503001 0.415263 0.464602 -0.455544 -0.467924 -0.464602
5.82 0.86963 0.920167 0.894634 0.503001 0.380168 0.4468 -0.438252 -0.449599 -0.4468
5.84 0.87969 0.927419 0.90339 0.503001 0.345073 0.428819 -0.420759 -0.431122 -0.428819
5.86 0.88975 0.93397 0.911785 0.503001 0.309978 0.410667 -0.403064 -0.412507 -0.410667
5.88 0.89981 0.939819 0.919816 0.503001 0.274883 0.39235 -0.385169 -0.393767 -0.39235
5.9 0.90987 0.944965 0.927478 0.503001 0.239788 0.373877 -0.367072 -0.374918 -0.373877
5.92 0.91993 0.94941 0.93477 0.503001 0.204693 0.355254 -0.348774 -0.355974 -0.355254
5.94 0.92999 0.953153 0.941688 0.503001 0.169598 0.336488 -0.330275 -0.336947 -0.336488
5.96 0.94005 0.956194 0.948229 0.503001 0.134503 0.317589 -0.311574 -0.317852 -0.317589
5.98 0.95011 0.958533 0.95439 0.503001 0.0994075 0.298562 -0.292673 -0.298704 -0.298562
6 0.96017 0.96017 0.96017 0.503001 0.0643124 0.279415 -0.27357 -0.279515 -0.279415
6.02 0.960827 0.961431 0.965566 0.0328347 0.0617942 0.260157 -0.25436 -0.260299 -0.260157
6.04 0.961484 0.962642 0.970576 0.0328347 0.059276 0.240795 -0.235137 -0.241059 -0.240795
6.06 0.96214 0.963802 0.975197 0.0328347 0.0567578 0.221337 -0.215901 -0.221794 -0.221337
6.08 0.962797 0.964912 0.979429 0.0328347 0.0542395 0.20179 -0.196651 -0.202507 -0.20179
6.1 0.963454 0.965972 0.983268 0.0328347 0.0517213 0.182163 -0.177389 -0.183198 -0.182163
6.12 0.96411 0.966981 0.986715 0.0328347 0.0492031 0.162462 -0.158113 -0.163868 -0.162462
6.14 0.964767 0.96794 0.989766 0.0328347 0.0466849 0.142697 -0.138824 -0.144519 -0.142697
6.16 0.965424 0.968849 0.992422 0.0328347 0.0441667 0.122874 -0.119522 -0.125151 -0.122874
6.18 0.966081 0.969707 0.994681 0.0328347 0.0416484 0.103002 -0.100207 -0.105765 -0.103002
6.2 0.966737 0.970515 0.996542 0.0328347 0.0391302 0.0830894 -0.0808792 -0.0863631 -0.0830894
6.22 0.967394 0.971272 0.998004 0.0328347 0.036612 0.0631433 -0.0615379 -0.0669451 -0.0631433
6.24 0.968051 0.971979 0.999068 0.0328347 0.0340938 0.0431719 -0.0421834 -0.0475125 -0.0431719
6.26 0.968707 0.972636 0.999731 0.0328347 0.0315756 0.0231832 -0.0228159 -0.0280663 -0.0231832
6.28 0.969364 0.973242 0.999995 0.0328347 0.0290573 0.0031853 -0.00343514 -0.00860742 -0.0031853
6.3 0.970021 0.973798 0.999859 0.0328347 0.0265391 -0.0168139 0.0159587 0.0108631 0.0168139
6.32 0.970677 0.974304 0.999322 0.0328347 0.0240209 -0.0368064 0.0353657 0.0303442 0.0368064
6.34 0.971334 0.974759 0.998386 0.0328347 0.0215027 -0.0567841 0.0547858 0.0498349 0.0567841
6.36 0.971991 0.975164 0.997051 0.0328347 0.0189845 -0.0767392 0.074219 0.0693342 0.0767392
6.38 0.972647 0.975518 0.995317 0.0328347 0.0164663 -0.0966635 0.0936654 0.0888411 0.0966635
6.4 0.973304 0.975822 0.993185 0.0328347 0.013948 -0.116549 0.113125 0.108355 0.116549
6.42 0.973961 0.976076 0.990655 0.0328347 0.0114298 -0.136388 0.132598 0.127874 0.136388
6.44 0.974618 0.97628 0.98773 0.0328347 0.0089116 -0.156173 0.152083 0.147397 0.156173
6.46 0.975274 0.976433 0.984409 0.0328347 0.00639338 -0.175895 0.171582 0.166924 0.175895
6.48 0.975931 0.976535 0.980694 0.0328347 0.00387516 -0.195547 0.191094 0.186454 0.195547
6.5 0.976588 0.976588 0.976588 0.0328347 0.00135694 -0.21512 0.21062 0.205986 0.21512
6.52 0.96768 0.976257 0.97209 -0.445371 -0.0343813 -0.234607 0.230062 0.225515 0.234607
6.54 0.958773 0.975212 0.967204 -0.445371 -0.0701195 -0.254001 0.249327 0.245031 0.254001
6.56 0.949865 0.973453 0.961931 -0.445371 -0.105858 -0.273293 0.268413 0.264519 0.273293
6.58 0.940958 0.970978 0.956273 -0.445371 -0.141596 -0.292476 0.287321 0.283964 0.292476
6.6 0.932051 0.967789 0.950233 -0.445371 -0.177334 -0.311541 0.306051 0.303353 0.311541
6.62 0.923143 0.963885 0.943812 -0.445371 -0.213072 -0.330482 0.324603 0.322671 0.330482
6.64 0.914236 0.959266 0.937014 -0.445371 -0.248811 -0.349291 0.342977 0.341904 0.349291
6.66 0.905328 0.953932 0.929841 -0.445371 -0.284549 -0.367961 0.361173 0.361037 0.367961
6.68 0.896421 0.947884 0.922297 -0.445371 -0.320287 -0.386483 0.37919 0.380056 0.386483
6.7 0.887513 0.941121 0.914383 -0.445371 -0.356025 -0.40485 0.39703 0.398948 0.40485
6.72 0.878606 0.933643 0.906104 -0.445371 -0.391763 -0.423055 0.414691 0.417697 0.423055
6.74 0.869699 0.92545 0.897462 -0.445371 -0.427502 -0.441092 0.432174 0.436289 0.441092
6.76 0.860791 0.916543 0.888461 -0.445371 -0.46324 -0.458951 0.449479 0.45471 0.458951
6.78 0.851884 0.906921 0.879105 -0.445371 -0.498978 -0.476628 0.466606 0.472946 0.476628
6.8 0.842976 0.896584 0.869397 -0.445371 -0.534716 -0.494113 0.483554 0.490982 0.494113
6.82 0.834069 0.885532 0.859342 -0.445371 -0.570454 -0.511401 0.500325 0.508804 0.511401
6.84 0.825162 0.873766 0.848943 -0.445371 -0.606193 -0.528485 0.516917 0.526398 0.528485
6.86 0.816254 0.861284 0.838204 -0.445371 -0.641931 -0.545357 0.533331 0.54375 0.545357
6.88 0.807347 0.848088 0.82713 -0.445371 -0.677669 -0.562011 0.549567 0.560845 0.562011
6.9 0.798439 0.834178 0.815725 -0.445371 -0.713407 -0.57844 0.565625 0.577669 0.57844
6.92 0.789532 0.819552 0.803994 -0.445371 -0.749146 -0.594637 0.581505 0.594207 0.594637
6.94 0.780624 0.804212 0.791941 -0.445371 -0.784884 -0.610597 0.597206 0.610446 0.610597
6.96 0.771717 0.788157 0.779572 -0.445371 -0.820622 -0.626313 0.61273 0.626371 0.626313
6.98 0.76281 0.771387 0.76689 -0.445371 -0.85636 -0.641778 0.628075 0.641968 0.641778
7 0.753902 0.753902 0.753902 -0.445371 -0.892098 -0.656987 0.643242 0.657222 0.656987
7.02 0.737612 0.736122 0.740613 -0.814534 -0.885893 -0.671932 0.658157 0.672122 0.671932
7.04 0.721321 0.718467 0.727027 -0.814534 -0.879688 -0.686609 0.672746 0.686667 0.686609
7.06 0.70503 0.700935 0.71315 -0.814534 -0.873483 -0.701011 0.68701 0.700861 0.701011
7.08 0.68874 0.683527 0.698988 -0.814534 -0.867278 -0.715133 0.700948 0.714706 0.715133
7.1 0.672449 0.666244 0.684547 -0.814534 -0.861073 -0.728969 0.71456 0.728203 0.728969
7.12 0.656158 0.649084 0.669831 -0.814534 -0.854867 -0.742513 0.727846 0.741356 0.742513
7.14 0.639868 0.632049 0.654848 -0.814534 -0.848662 -0.755761 0.740806 0.754167 0.755761
7.16 0.623577 0.615138 0.639603 -0.814534 -0.842457 -0.768705 0.75344 0.766639 0.768705
7.18 0.607286 0.598351 0.624102 -0.814534 -0.836252 -0.781343 0.765749 0.778774 0.781343
7.2 0.590995 0.581688 0.608351 -0.814534 -0.830047 -0.793668 0.777732 0.790574 0.793668
7.22 0.574705 0.565149 0.592357 -0.814534 -0.823842 -0.805675 0.789389 0.802042 0.805675
7.24 0.558414 0.548734 0.576126 -0.814534 -0.817636 -0.817361 0.80072 0.813181 0.817361
7.26 0.542123 0.532443 0.559665 -0.814534 -0.811431 -0.828719 0.811725 0.823992 0.828719
7.28 0.525833 0.516277 0.54298 -0.814534 -0.805226 -0.839746 0.822405 0.834479 0.839746
7.3 0.509542 0.500234 0.526078 -0.814534 -0.799021 -0.850437 0.832759 0.844644 0.850437
7.32 0.493251 0.484316 0.508965 -0.814534 -0.792816 -0.860787 0.842787 0.854489 0.860787
7.34 0.476961 0.468522 0.491648 -0.814534 -0.786611 -0.870794 0.852489 0.864018 0.870794
7.36 0.46067 0.452852 0.474135 -0.814534 -0.780405 -0.880452 0.861865 0.873231 0.880452
7.38 0.444379 0.437305 0.456433 -0.814534 -0.7742 -0.889758 0.870916 0.882132 0.889758
7.4 0.428089 0.421884 0.438547 -0.814534 -0.767995 -0.898708 0.87964 0.890724 0.898708
7.42 0.411798 0.406586 0.420487 -0.814534 -0.76179 -0.907299 0.888039 0.899009 0.907299
7.44 0.395507 0.391412 0.402258 -0.814534 -0.755585 -0.915526 0.896112 0.906988 0.915526
7.46 0.379217 0.376362 0.383868 -0.814534 -0.74938 -0.923388 0.903859 0.914666 0.923388
7.48 0.362926 0.361437 0.365325 -0.814534 -0.743174 -0.93088 0.911281 0.922044 0.93088
7.5 0.346635 0.346635 0.346635 -0.814534 -0.736969 -0.938 0.918376 0.929124 0.938
7.52 0.32695 0.331698 0.327807 -0.984271 -0.756753 -0.944745 0.925112 0.935908 0.944745
7.54 0.307264 0.316365 0.308848 -0.984271 -0.776538 -0.951111 0.931454 0.94239 0.951111
7.56 0.287579 0.300637 0.289765 -0.984271 -0.796322 -0.957098 0.937403 0.94856 0.957098
7.58 0.267894 0.284512 0.270567 -0.984271 -0.816106 -0.962701 0.942958 0.954412 0.962701
7.6 0.248208 0.267992 0.25126 -0.984271 -0.83589 -0.96792 0.948119 0.959938 0.96792
7.62 0.228523 0.251077 0.231852 -0.984271 -0.855674 -0.972751 0.952886 0.965129 0.972751
7.64 0.208837 0.233765 0.212352 -0.984271 -0.875458 -0.977193 0.957259 0.969978 0.977193
7.66 0.189152 0.216058 0.192767 -0.984271 -0.895242 -0.981244 0.961239 0.974477 0.981244
7.68 0.169467 0.197956 0.173105 -0.984271 -0.915026 -0.984903 0.964826 0.978618 0.984903
7.7 0.149781 0.179457 0.153374 -0.984271 -0.93481 -0.988168 0.968018 0.982393 0.988168
7.72 0.130096 0.160563 0.133581 -0.984271 -0.954595 -0.991038 0.970817 0.985794 0.991038
7.74 0.11041 0.141274 0.113735 -0.984271 -0.974379 -0.993511 0.973222 0.988813 0.993511
7.76 0.0907249 0.121588 0.0938433 -0.984271 -0.994163 -0.995587 0.975233 0.991442 0.995587
7.78 0.0710395 0.101507 0.0739142 -0.984271 -1.01395 -0.997265 0.976851 0.993674 0.997265
7.8 0.0513541 0.0810303 0.0539554 -0.984271 -1.03373 -0.998543 0.978075 0.9955 0.998543
7.82 0.0316687 0.0601578 0.0339751 -0.984271 -1.05352 -0.999423 0.978905 0.996912 0.999423
7.84 0.0119833 0.0388897 0.0139812 -0.984271 -1.0733 -0.999902 0.979342 0.997903 0.999902
7.86 -0.00770214 0.0172258 -0.00601833 -0.984271 -1.09308 -0.999982 0.979384 0.998465 0.999982
7.88 -0.0273875 -0.00483366 -0.0260154 -0.984271 -1.11287 -0.999662 0.979033 0.99859 0.999662
7.9 -0.047073 -0.0272889 -0.0460021 -0.984271 -1.13265 -0.998941 0.978289 0.998269 0.998941
7.92 -0.0667584 -0.0501397 -0.0659704 -0.984271 -1.15244 -0.997822 0.977151 0.997496 0.997822
7.94 -0.0864438 -0.0733863 -0.0859123 -0.984271 -1.17222 -0.996303 0.975619 0.996261 0.996303
7.96 -0.106129 -0.0970285 -0.10582 -0.984271 -1.192 -0.994385 0.973693 0.994558 0.994385
7.98 -0.125815 -0.121066 -0.125685 -0.984271 -1.21179 -0.99207 0.971373 0.992377 0.99207
8 -0.1455 -0.1455 -0.1455 -0.984271 -1.23157 -0.989358 0.96866 0.989712 0.989358
8.02 -0.163761 -0.169877 -0.165257 -0.913024 -1.20609 -0.986251 0.965568 0.986558 0.986251
8.04 -0.182021 -0.193744 -0.184947 -0.913024 -1.1806 -0.982748 0.96211 0.982921 0.982748
8.06 -0.200281 -0.217101 -0.204564 -0.913024 -1.15512 -0.978853 0.958287 0.978811 0.978853
8.08 -0.218542 -0.239948 -0.224099 -0.913024 -1.12964 -0.974566 0.954099 0.97424 0.974566
8.1 -0.236802 -0.262286 -0.243544 -0.913024 -1.10415 -0.96989 0.949545 0.969217 0.96989
8.12 -0.255063 -0.284114 -0.262892 -0.913024 -1.07867 -0.964825 0.944626 0.963752 0.964825
8.14 -0.273323 -0.305433 -0.282135 -0.913024 -1.05319 -0.959375 0.939343 0.957856 0.959375
8.16 -0.291584 -0.326242 -0.301264 -0.913024 -1.0277 -0.953541 0.933694 0.951538 0.953541
8.18 -0.309844 -0.346541 -0.320274 -0.913024 -1.00222 -0.947325 0.927679 0.944809 0.947325
8.2 -0.328105 -0.366331 -0.339155 -0.913024 -0.976733 -0.940731 0.9213 0.93768 0.940731
8.22 -0.346365 -0.38561 -0.3579 -0.913024 -0.95125 -0.93376 0.914555 0.930159 0.93376
8.24 -0.364626 -0.404381 -0.376503 -0.913024 -0.925766 -0.926415 0.907445 0.922259 0.926415
8.26 -0.382886 -0.422641 -0.394955 -0.913024 -0.900282 -0.918701 0.89997 0.913988 0.918701
8.28 -0.401147 -0.440392 -0.413248 -0.913024 -0.874798 -0.910618 0.89213 0.905356 0.910618
8.3 -0.419407 -0.457633 -0.431377 -0.913024 -0.849314 -0.902172 0.883924 0.896375 0.902172
8.32 -0.437668 -0.474364 -0.449333 -0.913024 -0.82383 -0.893364 0.875353 0.887055 0.893364
8.34 -0.455928 -0.490586 -0.467109 -0.913024 -0.798346 -0.8842 0.866417 0.877404 0.8842
8.36 -0.474189 -0.506298 -0.484698 -0.913024 -0.772862 -0.874681 0.857116 0.867435 0.874681
8.38 -0.492449 -0.521501 -0.502094 -0.913024 -0.747379 -0.864813 0.84745 0.857156 0.864813
8.4 -0.51071 -0.536193 -0.519289 -0.913024 -0.721895 -0.854599 0.837418 0.846578 0.854599
8.42 -0.52897 -0.550376 -0.536276 -0.913024 -0.696411 -0.844043 0.827022 0.835711 0.844043
8.44 -0.54723 -0.56405 -0.553048 -0.913024 -0.670927 -0.833149 0.81626 0.824566 0.833149
8.46 -0.565491 -0.577214 -0.569599 -0.913024 -0.645443 -0.821922 0.805132 0.813153 0.821922
8.48 -0.583751 -0.589868 -0.585923 -0.913024 -0.619959 -0.810367 0.79364 0.801481 0.810367
8.5 -0.602012 -0.602012 -0.602012 -0.913024 -0.594475 -0.798487 0.781782 0.789561 0.798487
8.52 -0.614377 -0.61392 -0.61786 -0.618237 -0.596376 -0.786288 0.769618 0.777402 0.786288
8.54 -0.626741 -0.625867 -0.633461 -0.618237 -0.598277 -0.773774 0.757207 0.765004 0.773774
8.56 -0.639106 -0.637852 -0.648809 -0.618237 -0.600178 -0.760951 0.744549 0.752367 0.760951
8.58 -0.651471 -0.649874 -0.663897 -0.618237 -0.602079 -0.747824 0.731643 0.73949 0.747824
8.6 -0.663836 -0.661935 -0.67872 -0.618237 -0.60398 -0.734397 0.71849 0.726372 0.734397
8.62 -0.6762 -0.674033 -0.693271 -0.618237 -0.605881 -0.720677 0.70509 0.713012 0.720677
8.64 -0.688565 -0.68617 -0.707545 -0.618237 -0.607782 -0.706668 0.691442 0.69941 0.706668
8.66 -0.70093 -0.698345 -0.721536 -0.618237 -0.609683 -0.692377 0.677547 0.685565 0.692377
8.68 -0.713295 -0.710557 -0.735238 -0.618237 -0.611584 -0.677809 0.663405 0.671476 0.677809
8.7 -0.725659 -0.722808 -0.748647 -0.618237 -0.613484 -0.662969 0.649015 0.657143 0.662969
8.72 -0.738024 -0.735097 -0.761755 -0.618237 -0.615385 -0.647865 0.634378 0.642564 0.647865
8.74 -0.750389 -0.747423 -0.77456 -0.618237 -0.617286 -0.632501 0.619494 0.627739 0.632501
8.76 -0.762753 -0.759788 -0.787054 -0.618237 -0.619187 -0.616884 0.604363 0.612667 0.616884
8.78 -0.775118 -0.772191 -0.799233 -0.618237 -0.621088 -0.601021 0.588984 0.597347 0.601021
8.8 -0.787483 -0.784632 -0.811093 -0.618237 -0.622989 -0.584917 0.573358 0.581779 0.584917
8.82 -0.799848 -0.79711 -0.822628 -0.618237 -0.62489 -0.568579 0.557485 0.565961 0.568579
8.84 -0.812212 -0.809627 -0.833835 -0.618237 -0.626791 -0.552014 0.541364 0.549894 0.552014
8.86 -0.824577 -0.822182 -0.844707 -0.618237 -0.628692 -0.535228 0.524996 0.533576 0.535228
8.88 -0.836942 -0.834775 -0.855242 -0.618237 -0.630593 -0.518228 0.508381 0.517007 0.518228
8.9 -0.849307 -0.847406 -0.865435 -0.618237 -0.632494 -0.501021 0.491519 0.500185 0.501021
8.92 -0.861671 -0.860075 -0.875282 -0.618237 -0.634394 -0.483613 0.474409 0.48311 0.483613
8.94 -0.874036 -0.872781 -0.884778 -0.618237 -0.636295 -0.466012 0.457052 0.465782 0.466012
8.96 -0.886401 -0.885526 -0.893921 -0.618237 -0.638196 -0.448224 0.439447 0.448199 0.448224
8.98 -0.898766 -0.898309 -0.902706 -0.618237 -0.640097 -0.430257 0.421596 0.43036 0.430257
9 -0.91113 -0.91113 -0.91113 -0.618237 -0.641998 -0.412118 0.403497 0.412266 0.412118


# knots: x_i  y_i
0 1
0.5 0.877583
1 0.540302
1.5 0.0707372
2 -0.416147
2.5 -0.801144
3 -0.989992
3.5 -0.936457
4 -0.653644
4.5 -0.210796
5 0.283662
5.5 0.70867
6 0.96017
6.5 0.976588
7 0.753902
7.5 0.346635
8 -0.1455
8.5 -0.602012
9 -0.91113
