# z  linear(z)  quadratic(z)  cos(z)  linear'(z)  quadratic'(z)  -sin(z)  integ_linear(z)  integ_quadratic(z)  sin(z)
1.2 0.352476 0.335509 0.362358 -0.93913 -0.967409 -0.932039 0.913145 0.928976 0.932039
1.22 0.333694 0.316274 0.343646 -0.93913 -0.956098 -0.939099 0.920006 0.935494 0.939099
1.24 0.314911 0.297265 0.324796 -0.93913 -0.944786 -0.945784 0.926492 0.941629 0.945784
1.26 0.296128 0.278482 0.305817 -0.93913 -0.933474 -0.95209 0.932603 0.947386 0.95209
1.28 0.277346 0.259926 0.286715 -0.93913 -0.922163 -0.958016 0.938338 0.952769 0.958016
1.3 0.258563 0.241596 0.267499 -0.93913 -0.910851 -0.963558 0.943697 0.957784 0.963558
1.32 0.239781 0.223492 0.248175 -0.93913 -0.89954 -0.968715 0.94868 0.962435 0.968715
1.34 0.220998 0.205614 0.228753 -0.93913 -0.888228 -0.973485 0.953288 0.966725 0.973485
1.36 0.202215 0.187963 0.209239 -0.93913 -0.876917 -0.977865 0.95752 0.970661 0.977865
1.38 0.183433 0.170538 0.189641 -0.93913 -0.865605 -0.981854 0.961377 0.974245 0.981854
1.4 0.16465 0.153339 0.169967 -0.93913 -0.854293 -0.98545 0.964857 0.977484 0.98545
1.42 0.145868 0.136366 0.150225 -0.93913 -0.842982 -0.988652 0.967963 0.980381 0.988652
1.44 0.127085 0.119619 0.130424 -0.93913 -0.83167 -0.991458 0.970692 0.98294 0.991458
1.46 0.108302 0.103099 0.11057 -0.93913 -0.820359 -0.993868 0.973046 0.985167 0.993868
1.48 0.0895198 0.086805 0.0906716 -0.93913 -0.809047 -0.995881 0.975024 0.987065 0.995881
1.5 0.0707372 0.0707372 0.0707372 -0.973768 -0.797736 -0.997495 0.976627 0.988641 0.997495
1.52 0.0512618 0.0546417 0.0507745 -0.973768 -0.811818 -0.99871 0.977847 0.989895 0.99871
1.54 0.0317865 0.0382645 0.0307915 -0.973768 -0.825901 -0.999526 0.978677 0.990824 0.999526
1.56 0.0123111 0.0216056 0.0107961 -0.973768 -0.839983 -0.999942 0.979118 0.991423 0.999942
1.58 -0.00716424 0.00466514 -0.00920354 -0.973768 -0.854066 -0.999958 0.97917 0.991687 0.999958
1.6 -0.0266396 -0.012557 -0.0291995 -0.973768 -0.868149 -0.999574 0.978832 0.991608 0.999574
1.62 -0.046115 -0.0300608 -0.0491838 -0.973768 -0.882231 -0.99879 0.978104 0.991183 0.99879
1.64 -0.0655903 -0.0478463 -0.0691484 -0.973768 -0.896314 -0.997606 0.976987 0.990404 0.997606
1.66 -0.0850657 -0.0659134 -0.0890854 -0.973768 -0.910396 -0.996024 0.97548 0.989267 0.996024
1.68 -0.104541 -0.0842621 -0.108987 -0.973768 -0.924479 -0.994043 0.973584 0.987765 0.994043
1.7 -0.124016 -0.102893 -0.128844 -0.973768 -0.938562 -0.991665 0.971299 0.985894 0.991665
1.72 -0.143492 -0.121805 -0.148651 -0.973768 -0.952644 -0.98889 0.968624 0.983648 0.98889
1.74 -0.162967 -0.140998 -0.168397 -0.973768 -0.966727 -0.985719 0.965559 0.98102 0.985719
1.76 -0.182442 -0.160474 -0.188077 -0.973768 -0.980809 -0.982154 0.962105 0.978006 0.982154
1.78 -0.201918 -0.180231 -0.207681 -0.973768 -0.994892 -0.978197 0.958261 0.9746 0.978197
1.8 -0.221393 -0.200269 -0.227202 -0.973768 -1.00897 -0.973848 0.954028 0.970795 0.973848
1.82 -0.240869 -0.22059 -0.246632 -0.973768 -1.02306 -0.969109 0.949406 0.966587 0.969109
1.84 -0.260344 -0.241192 -0.265964 -0.973768 -1.03714 -0.963983 0.944394 0.96197 0.963983
1.86 -0.279819 -0.262075 -0.285189 -0.973768 -1.05122 -0.958471 0.938992 0.956937 0.958471
1.88 -0.299295 -0.283241 -0.3043 -0.973768 -1.0653 -0.952576 0.933201 0.951485 0.952576
1.9 -0.31877 -0.304687 -0.32329 -0.973768 -1.07939 -0.9463 0.92702 0.945606 0.9463
1.92 -0.338245 -0.326416 -0.34215 -0.973768 -1.09347 -0.939645 0.92045 0.939295 0.939645
1.94 -0.357721 -0.348426 -0.360873 -0.973768 -1.10755 -0.932615 0.91349 0.932547 0.932615
1.96 -0.377196 -0.370718 -0.379452 -0.973768 -1.12164 -0.925212 0.906141 0.925356 0.925212
1.98 -0.396671 -0.393292 -0.397879 -0.973768 -1.13572 -0.917438 0.898403 0.917717 0.917438
2 -0.416147 -0.416147 -0.416147 -0.769994 -1.1498 -0.909297 0.890274 0.909623 0.909297
2.02 -0.431547 -0.438839 -0.434248 -0.769994 -1.11942 -0.900793 0.881797 0.901072 0.900793
2.04 -0.446947 -0.460923 -0.452176 -0.769994 -1.08903 -0.891929 0.873012 0.892073 0.891929
2.06 -0.462346 -0.4824 -0.469923 -0.769994 -1.05865 -0.882707 0.86392 0.882639 0.882707
