# case acc est_error actual_error ratio ncalls result exact
1/sqrt(x) on [0,1] 1e-06 6.14883e-07 1.05084e-09 0.00170901 123900 2 2
log(x)/sqrt(x) on [0,1] 1e-06 6.1375e-07 5.86947e-10 0.000956329 302996 -4 -4
exp(-x) on [0,inf) 1e-06 5.24278e-07 1.19993e-08 0.0228873 540 1 1
exp(-x*x) on [0,inf) 1e-06 4.50977e-07 2.88108e-07 0.638853 668 0.886227 0.886227
