# x  y_best  y_pp  y_pm  y_mp  y_mm
6.11873  50.1322  54.2636  49.7134  50.5544  46.3152
6.1689  49.7049  53.8204  49.272  50.1415  45.904
6.21906  49.2812  53.3809  48.8345  49.732  45.4964
6.26923  48.8612  52.9449  48.4009  49.3258  45.0925
6.3194  48.4447  52.5125  47.9712  48.923  44.6921
6.36957  48.0318  52.0836  47.5452  48.5234  44.2952
6.41973  47.6224  51.6582  47.1231  48.1271  43.9019
6.4699  47.2165  51.2363  46.7046  47.7341  43.5121
6.52007  46.8141  50.8179  46.29  47.3442  43.1258
6.57023  46.4151  50.4028  45.8789  46.9575  42.7429
6.6204  46.0195  49.9912  45.4716  46.574  42.3633
6.67057  45.6273  49.5829  45.0678  46.1936  41.9872
6.72074  45.2384  49.178  44.6677  45.8164  41.6144
6.7709  44.8528  48.7763  44.2711  45.4422  41.2449
6.82107  44.4705  48.3779  43.878  45.071  40.8787
6.87124  44.0915  47.9828  43.4884  44.7029  40.5157
6.9214  43.7157  47.5909  43.1022  44.3379  40.156
6.97157  43.3431  47.2023  42.7195  43.9757  39.7994
7.02174  42.9737  46.8168  42.3402  43.6166  39.446
7.07191  42.6074  46.4344  41.9643  43.2604  39.0958
7.12207  42.2442  46.0552  41.5917  42.907  38.7486
7.17224  41.8842  45.679  41.2224  42.5566  38.4046
7.22241  41.5272  45.3059  40.8563  42.209  38.0636
7.27258  41.1732  44.9359  40.4936  41.8643  37.7256
7.32274  40.8223  44.5689  40.134  41.5224  37.3907
7.37291  40.4744  44.2049  39.7777  41.1833  37.0587
7.42308  40.1294  43.8439  39.4245  40.8469  36.7296
7.47324  39.7874  43.4858  39.0744  40.5133  36.4035
7.52341  39.4483  43.1307  38.7275  40.1824  36.0803
7.57358  39.112  42.7784  38.3836  39.8543  35.7599
7.62375  38.7787  42.429  38.0428  39.5288  35.4424
7.67391  38.4482  42.0825  37.705  39.2059  35.1277
7.72408  38.1205  41.7388  37.3702  38.8857  34.8158
7.77425  37.7955  41.3979  37.0384  38.5681  34.5066
7.82441  37.4734  41.0598  36.7096  38.2532  34.2003
7.87458  37.154  40.7245  36.3836  37.9407  33.8966
7.92475  36.8373  40.3919  36.0606  37.6309  33.5956
7.97492  36.5234  40.062  35.7404  37.3235  33.2973
8.02508  36.2121  39.7348  35.423  37.0187  33.0017
8.07525  35.9034  39.4103  35.1085  36.7164  32.7086
8.12542  35.5974  39.0884  34.7968  36.4165  32.4182
8.17559  35.294  38.7692  34.4878  36.1191  32.1304
8.22575  34.9932  38.4525  34.1816  35.8241  31.8451
8.27592  34.6949  38.1385  33.8781  35.5315  31.5623
8.32609  34.3992  37.827  33.5773  35.2413  31.2821
8.37625  34.106  37.518  33.2791  34.9535  31.0043
8.42642  33.8153  37.2116  32.9836  34.668  30.729
8.47659  33.5271  36.9077  32.6908  34.3849  30.4562
8.52676  33.2414  36.6063  32.4005  34.104  30.1858
8.57692  32.958  36.3073  32.1128  33.8255  29.9177
8.62709  32.6771  36.0108  31.8277  33.5493  29.6521
8.67726  32.3986  35.7167  31.5451  33.2753  29.3888
8.72742  32.1225  35.425  31.265  33.0035  29.1279
8.77759  31.8487  35.1357  30.9874  32.7339  28.8692
8.82776  31.5772  34.8487  30.7123  32.4666  28.6129
8.87793  31.3081  34.5641  30.4396  32.2014  28.3589
8.92809  31.0413  34.2818  30.1693  31.9384  28.1071
8.97826  30.7767  34.0018  29.9014  31.6776  27.8575
9.02843  30.5144  33.7241  29.6359  31.4189  27.6101
9.0786  30.2543  33.4487  29.3728  31.1623  27.365
9.12876  29.9964  33.1755  29.112  30.9078  27.122
9.17893  29.7408  32.9045  28.8535  30.6553  26.8812
9.2291  29.4873  32.6358  28.5973  30.405  26.6425
9.27926  29.236  32.3693  28.3434  30.1567  26.4059
9.32943  28.9868  32.1049  28.0917  29.9104  26.1715
9.3796  28.7397  31.8427  27.8423  29.6661  25.9391
9.42977  28.4948  31.5826  27.5951  29.4238  25.7088
9.47993  28.2519  31.3247  27.35  29.1835  25.4805
9.5301  28.0111  31.0689  27.1072  28.9451  25.2543
9.58027  27.7723  30.8151  26.8665  28.7087  25.03
9.63043  27.5356  30.5634  26.628  28.4743  24.8078
9.6806  27.3009  30.3138  26.3915  28.2417  24.5875
9.73077  27.0683  30.0662  26.1572  28.0111  24.3692
9.78094  26.8375  29.8207  25.9249  27.7823  24.1528
9.8311  26.6088  29.5771  25.6947  27.5554  23.9384
9.88127  26.382  29.3356  25.4666  27.3303  23.7258
9.93144  26.1572  29.096  25.2405  27.1071  23.5152
9.98161  25.9342  28.8584  25.0164  26.8857  23.3064
10.0318  25.7132  28.6227  24.7942  26.6661  23.0994
10.0819  25.494  28.3889  24.5741  26.4484  22.8943
10.1321  25.2767  28.157  24.3559  26.2324  22.691
10.1823  25.0613  27.9271  24.1396  26.0181  22.4896
10.2324  24.8477  27.699  23.9253  25.8056  22.2899
10.2826  24.6359  27.4728  23.7129  25.5949  22.092
10.3328  24.4259  27.2484  23.5023  25.3858  21.8958
10.3829  24.2177  27.0258  23.2936  25.1785  21.7014
10.4331  24.0113  26.8051  23.0868  24.9728  21.5087
10.4833  23.8067  26.5862  22.8818  24.7689  21.3177
10.5334  23.6038  26.3691  22.6786  24.5666  21.1284
10.5836  23.4026  26.1537  22.4773  24.366  20.9408
10.6338  23.2031  25.9401  22.2777  24.167  20.7549
10.6839  23.0053  25.7282  22.0799  23.9696  20.5706
10.7341  22.8093  25.5181  21.8838  23.7738  20.388
10.7843  22.6149  25.3097  21.6895  23.5797  20.2069
10.8344  22.4221  25.103  21.497  23.3871  20.0275
10.8846  22.231  24.898  21.3061  23.1961  19.8497
10.9348  22.0415  24.6946  21.1169  23.0066  19.6734
10.9849  21.8537  24.4929  20.9294  22.8187  19.4988
11.0351  21.6674  24.2929  20.7436  22.6324  19.3256
11.0853  21.4827  24.0945  20.5594  22.4475  19.154
11.1355  21.2996  23.8977  20.3768  22.2642  18.984
11.1856  21.1181  23.7025  20.1959  22.0823  18.8154
11.2358  20.9381  23.509  20.0166  21.902  18.6483
11.286  20.7596  23.317  19.8389  21.7231  18.4828
11.3361  20.5827  23.1265  19.6627  21.5457  18.3187
11.3863  20.4073  22.9376  19.4881  21.3697  18.156
11.4365  20.2333  22.7503  19.3151  21.1952  17.9948
11.4866  20.0609  22.5645  19.1436  21.0221  17.835
11.5368  19.8899  22.3802  18.9736  20.8504  17.6767
11.587  19.7204  22.1974  18.8051  20.6801  17.5197
11.6371  19.5523  22.0161  18.6382  20.5112  17.3641
11.6873  19.3856  21.8363  18.4727  20.3437  17.21
11.7375  19.2204  21.658  18.3086  20.1776  17.0572
11.7876  19.0566  21.4811  18.1461  20.0128  16.9057
11.8378  18.8942  21.3057  17.985  19.8493  16.7556
11.888  18.7331  21.1317  17.8253  19.6872  16.6068
11.9381  18.5735  20.9591  17.667  19.5264  16.4594
11.9883  18.4151  20.7879  17.5101  19.3669  16.3132
12.0385  18.2582  20.6181  17.3547  19.2088  16.1684
12.0886  18.1026  20.4497  17.2006  19.0519  16.0248
12.1388  17.9483  20.2827  17.0478  18.8963  15.8825
12.189  17.7953  20.1171  16.8965  18.742  15.7415
12.2391  17.6436  19.9528  16.7464  18.5889  15.6017
12.2893  17.4933  19.7898  16.5978  18.4371  15.4632
12.3395  17.3442  19.6282  16.4504  18.2865  15.3259
12.3896  17.1963  19.4679  16.3043  18.1371  15.1898
12.4398  17.0498  19.3089  16.1595  17.989  15.055
12.49  16.9044  19.1512  16.0161  17.8421  14.9213
12.5401  16.7604  18.9948  15.8739  17.6964  14.7888
12.5903  16.6175  18.8396  15.7329  17.5518  14.6575
12.6405  16.4759  18.6858  15.5932  17.4085  14.5273
12.6906  16.3354  18.5332  15.4548  17.2663  14.3983
12.7408  16.1962  18.3818  15.3175  17.1253  14.2705
12.791  16.0582  18.2317  15.1815  16.9854  14.1438
12.8411  15.9213  18.0828  15.0467  16.8467  14.0182
12.8913  15.7856  17.9351  14.9131  16.7091  13.8937
12.9415  15.6511  17.7886  14.7807  16.5727  13.7704
12.9916  15.5177  17.6433  14.6495  16.4373  13.6481
13.0418  15.3854  17.4992  14.5194  16.3031  13.5269
13.092  15.2543  17.3563  14.3905  16.1699  13.4068
13.1421  15.1243  17.2145  14.2627  16.0378  13.2878
13.1923  14.9953  17.074  14.1361  15.9069  13.1698
13.2425  14.8675  16.9345  14.0106  15.7769  13.0529
13.2926  14.7408  16.7962  13.8862  15.6481  12.937
13.3428  14.6152  16.659  13.7629  15.5203  12.8221
13.393  14.4906  16.523  13.6407  15.3935  12.7082
13.4431  14.3671  16.388  13.5195  15.2678  12.5954
13.4933  14.2447  16.2542  13.3995  15.1431  12.4836
13.5435  14.1232  16.1214  13.2805  15.0194  12.3727
13.5936  14.0029  15.9898  13.1626  14.8968  12.2629
13.6438  13.8835  15.8592  13.0457  14.7751  12.154
13.694  13.7652  15.7296  12.9299  14.6544  12.0461
13.7441  13.6479  15.6012  12.8151  14.5348  11.9391
13.7943  13.5315  15.4738  12.7013  14.416  11.8331
13.8445  13.4162  15.3474  12.5885  14.2983  11.728
13.8946  13.3019  15.222  12.4767  14.1815  11.6239
13.9448  13.1885  15.0977  12.366  14.0657  11.5207
13.995  13.0761  14.9744  12.2562  13.9508  11.4184
14.0452  12.9646  14.8521  12.1473  13.8369  11.317
14.0953  12.8541  14.7308  12.0395  13.7239  11.2165
14.1455  12.7446  14.6105  11.9326  13.6118  11.1169
14.1957  12.6359  14.4912  11.8266  13.5006  11.0182
14.2458  12.5282  14.3728  11.7216  13.3904  10.9204
14.296  12.4215  14.2554  11.6175  13.281  10.8234
14.3462  12.3156  14.139  11.5144  13.1725  10.7273
14.3963  12.2106  14.0235  11.4122  13.065  10.6321
14.4465  12.1065  13.909  11.3108  12.9583  10.5377
14.4967  12.0034  13.7954  11.2104  12.8524  10.4441
14.5468  11.9011  13.6827  11.1109  12.7474  10.3514
14.597  11.7996  13.571  11.0122  12.6433  10.2595
14.6472  11.699  13.4602  10.9144  12.5401  10.1684
14.6973  11.5993  13.3502  10.8175  12.4377  10.0781
14.7475  11.5005  13.2412  10.7215  12.3361  9.9886
14.7977  11.4025  13.133  10.6263  12.2353  9.89991
14.8478  11.3053  13.0258  10.5319  12.1354  9.812
14.898  11.2089  12.9194  10.4384  12.0363  9.72488
14.9482  11.1134  12.8139  10.3457  11.938  9.63853
14.9983  11.0187  12.7092  10.2539  11.8405  9.55295
15.0485  10.9247  12.6054  10.1628  11.7438  9.46813
15.0987  10.8316  12.5025  10.0726  11.6479  9.38406
15.1488  10.7393  12.4004  9.98314  11.5527  9.30074
15.199  10.6478  12.2991  9.8945  11.4584  9.21816
15.2492  10.557  12.1986  9.80664  11.3648  9.13631
15.2993  10.467  12.099  9.71957  11.272  9.05519
15.3495  10.3778  12.0002  9.63327  11.1799  8.97478
15.3997  10.2894  11.9022  9.54773  11.0886  8.8951
15.4498  10.2017  11.805  9.46296  10.9981  8.81611
15.5  10.1147  11.7086  9.37894  10.9082  8.73784
