# N sweep — integral of 1/sqrt(x) on [0,1] = 2  (singularity at x=0)  acc=eps=0.0001  averaged over 8 runs
# N    ncalls   act_err
2  2874  2.412821e-04
4  5746  2.101493e-04
8  12272  1.048552e-04
16  25584  1.473388e-05
32  51056  6.896421e-06
64  102000  5.796515e-06
128  204128  3.857061e-06
256  409088  2.359461e-06
